# round	mode	threads	workers	kind	index	value_us	collections
1	unsafe	1	0	reset	182	0.07	0
1	unsafe	1	0	reset	183	0.081	0
1	unsafe	1	0	reset	184	0.07	0
1	unsafe	1	0	reset	185	0.08	0
1	unsafe	1	0	reset	186	0.08	0
1	unsafe	1	0	reset	187	0.08	0
1	unsafe	1	0	reset	188	0.06	0
1	unsafe	1	0	reset	189	0.07	0
1	unsafe	1	0	reset	190	0.07	0
1	unsafe	1	0	reset	191	0.07	0
1	unsafe	1	0	reset	192	0.08	0
1	unsafe	1	0	reset	193	0.14	0
1	unsafe	1	0	reset	194	0.07	0
1	unsafe	1	0	reset	195	0.1	0
1	unsafe	1	0	reset	196	0.07	0
1	unsafe	1	0	reset	197	0.07	0
1	unsafe	1	0	reset	198	0.071	0
1	unsafe	1	0	reset	199	0.07	0
1	unsafe	1	0	reset	200	0.08	0
1	checked	4	3	reset	1	58.33	0
1	checked	4	3	reset	2	71.605	0
1	checked	4	3	reset	3	64.432	0
1	checked	4	3	reset	4	54.874	0
1	checked	4	3	reset	5	73.458	0
1	checked	4	3	reset	6	64.813	0
1	checked	4	3	reset	7	44.614	0
1	checked	4	3	reset	8	33.463	0
1	checked	4	3	reset	9	34.014	0
1	checked	4	3	reset	10	34.886	0
1	checked	4	3	reset	11	33.262	0
1	checked	4	3	reset	12	33.404	0
1	checked	4	3	reset	13	34.335	0
1	checked	4	3	reset	14	33.874	0
1	checked	4	3	reset	15	34.264	0
1	checked	4	3	reset	16	33.383	0
1	checked	4	3	reset	17	33.593	0
1	checked	4	3	reset	18	33.122	0
1	checked	4	3	reset	19	33.823	0
1	checked	4	3	reset	20	34.245	0
1	checked	4	3	reset	21	32.802	0
1	checked	4	3	reset	22	33.533	0
1	checked	4	3	reset	23	33.423	0
1	checked	4	3	reset	24	37.05	0
1	checked	4	3	reset	25	33.153	0
1	checked	4	3	reset	26	32.902	0
1	checked	4	3	reset	27	33.343	0
1	checked	4	3	reset	28	35.557	0
1	checked	4	3	reset	29	42.37	0
1	checked	4	3	reset	30	44.734	0
1	checked	4	3	reset	31	40.567	0
1	checked	4	3	reset	32	41.919	0
1	checked	4	3	reset	33	40.226	0
1	checked	4	3	reset	34	37.671	0
1	checked	4	3	reset	35	42.12	0
1	checked	4	3	reset	36	39.985	0
1	checked	4	3	reset	37	41.168	0
1	checked	4	3	reset	38	40.056	0
1	checked	4	3	reset	39	37.571	0
1	checked	4	3	reset	40	41.619	0
1	checked	4	3	reset	41	37.0	0
1	checked	4	3	reset	42	40.096	0
1	checked	4	3	reset	43	40.376	0
1	checked	4	3	reset	44	40.276	0
1	checked	4	3	reset	45	43.101	0
1	checked	4	3	reset	46	41.027	0
1	checked	4	3	reset	47	39.405	0
1	checked	4	3	reset	48	40.937	0
1	checked	4	3	reset	49	47.129	0
1	checked	4	3	reset	50	43.833	0
1	checked	4	3	reset	51	39.725	0
1	checked	4	3	reset	52	38.703	0
1	checked	4	3	reset	53	38.793	0
1	checked	4	3	reset	54	39.395	0
1	checked	4	3	reset	55	38.423	0
1	checked	4	3	reset	56	39.174	0
1	checked	4	3	reset	57	38.693	0
1	checked	4	3	reset	58	40.987	0
1	checked	4	3	reset	59	39.565	0
1	checked	4	3	reset	60	38.874	0
1	checked	4	3	reset	61	37.501	0
1	checked	4	3	reset	62	54.002	0
1	checked	4	3	reset	63	44.885	0
1	checked	4	3	reset	64	36.86	0
1	checked	4	3	reset	65	35.207	0
